day,gridPoints,gridBoundary,decay,totalPercentage,type,accuracy,profit,profit.sd,profit.min,profit.max,accuracy.sd,accuracy.min,accuracy.max,sensitivity.D,sensitivity.D.min,sensitivity.D.max,sensitivity.L,sensitivity.L.min,sensitivity.L.max,sensitivity.W,sensitivity.W.min,sensitivity.W.max,sensitivity.sd
3,2,0.1,1,0,xgboost,0.529704445133939,552.7425,32.5887600035876,517.78,607.68,0.0100107940047322,0.518867924528302,0.55,0.262988503459736,0.203389830508475,0.333333333333333,0.491183340647409,0.454545454545455,0.525490196078431,0.596928865734678,0.58628841607565,0.614077669902913,0.170670816364628
3,2,0.1,1,1,xgboost,0.5239783156272,533.6975,90.7329745934267,432.99,703.77,0.00613917629762398,0.516914749661705,0.531799729364005,0.251027402515531,0.212121212121212,0.301369863013699,0.481952574682966,0.471074380165289,0.509293680297398,0.592003076839937,0.582338902147971,0.603864734299517,0.174022009454046
3,2,0.1,5000,0,xgboost,0.541171803193899,572.84375,81.8355217908807,468.75,693.35,0.0139291059215001,0.52027027027027,0.562162162162162,0.300009994092992,0.233333333333333,0.358208955223881,0.493882379630221,0.466666666666667,0.517241379310345,0.607936739678864,0.591687041564792,0.62287104622871,0.155677968665612
3,2,0.1,5000,1,xgboost,0.53318564160162,573.58125,55.4432890277469,511.22,659.91,0.0232998820092785,0.484438430311231,0.556756756756757,0.235611013566353,0.16,0.3,0.501581845826549,0.465217391304348,0.533333333333333,0.606685521003631,0.574572127139364,0.629716981132076,0.191260536188523
3,2,0.2,1,0,xgboost,0.533156435788015,558.165,51.8893465531633,464.77,613.53,0.0176426812757435,0.498648648648649,0.558704453441296,0.264492819452866,0.178571428571429,0.338028169014085,0.495173693048863,0.464,0.515695067264574,0.600127857008945,0.573170731707317,0.626829268292683,0.171697369622078
3,2,0.2,1,1,xgboost,0.533440134347956,553.53625,88.3146895947344,457.59,724.13,0.0208787471826117,0.497975708502024,0.565040650406504,0.250025175831627,0.2,0.307692307692308,0.500531246973,0.4375,0.536121673003802,0.597291563147764,0.57847533632287,0.614657210401891,0.179215789029374
3,2,0.2,5000,0,xgboost,0.527923644968993,545.5025,58.3627226306068,454.01,614.47,0.0202121437200948,0.491891891891892,0.545945945945946,0.285430332895317,0.219047619047619,0.372881355932203,0.487392893742817,0.425339366515837,0.510548523206751,0.598939638790275,0.582309582309582,0.611940298507463,0.158912783835191
3,2,0.2,5000,1,xgboost,0.534369199031171,582.80875,47.021562056298,481.66,634.93,0.0108003051847925,0.522972972972973,0.548648648648649,0.260063738748924,0.209302325581395,0.327868852459016,0.496225417154801,0.461206896551724,0.526530612244898,0.597267893534912,0.588235294117647,0.611872146118721,0.173055175394747
3,4,0.1,1,0,xgboost,0.528364850431829,555.9025,75.9530557553245,450.64,684.57,0.00958156131073388,0.511502029769959,0.537735849056604,0.279023491392536,0.207792207792208,0.333333333333333,0.482730955785565,0.467924528301887,0.5,0.601515116991586,0.579310344827586,0.618686868686869,0.163098772008648
3,4,0.1,1,1,xgboost,0.538768871818957,587.92,71.7638609806993,465.08,688.08,0.0110411239883364,0.520974289580514,0.556756756756757,0.273454948424236,0.225806451612903,0.333333333333333,0.507693913443143,0.475409836065574,0.5390625,0.597553582240123,0.592342342342342,0.604705882352941,0.167323328345032
3,4,0.1,5000,0,xgboost,0.539842560122858,566.42,61.3947757200422,470.96,672.08,0.0173413303454272,0.502024291497976,0.560053981106613,0.273738133240578,0.195652173913043,0.4,0.495630452048739,0.458333333333333,0.516528925619835,0.602190979818172,0.59020618556701,0.611872146118721,0.167567210221992
3,4,0.1,5000,1,xgboost,0.534110451544662,590.3975,54.6744721706836,486.31,656.69,0.0176375802637452,0.509459459459459,0.559459459459459,0.263828715932401,0.185185185185185,0.333333333333333,0.502386197899075,0.471861471861472,0.536480686695279,0.596725049408224,0.581609195402299,0.616113744075829,0.171575765551739
3,4,0.2,1,0,xgboost,0.534148407312814,535.6625,36.4104446357282,489.13,599.16,0.00668958263592237,0.528378378378378,0.548517520215633,0.268504976104156,0.183333333333333,0.328358208955224,0.487256245413535,0.464566929133858,0.509727626459144,0.605124039718855,0.588235294117647,0.634517766497462,0.170810484039916
3,4,0.2,1,1,xgboost,0.53453704751289,593.52,100.738990607269,461.25,773.72,0.0157371320646628,0.517567567567568,0.556756756756757,0.280316499136378,0.233333333333333,0.338709677419355,0.486686540658157,0.458823529411765,0.51792828685259,0.600124527759127,0.574031890660592,0.632211538461538,0.162138801713629
